Sample	Tray	Weight
53	2	1.108
53	3	1.110
53	4	1.116
53	5	1.109
53	6	1.113
53	7	1.125
53	8	1.131
53	9	1.117
53	10	1.097
53	11	1.119
53	12	1.116
53	13	1.125
53	14	1.112
53	15	1.118
53	16	1.115
53	17	1.125
53	18	1.127
53	19	1.104
53	20	1.128
53	21	1.123
53	22	1.124
54	1	1.089
54	2	1.109
54	3	1.106
54	4	1.112
54	5	1.111
54	6	1.113
54	7	1.118
54	8	1.129
54	9	1.114
54	10	1.095
54	11	1.121
54	12	1.115
54	13	1.122
54	14	1.115
54	15	1.116
54	16	1.106
54	17	1.120
54	18	1.125
54	19	1.109
54	20	1.122
54	21	1.122
54	22	1.120
55	1	1.090
55	2	1.109
55	3	1.106
55	4	1.115
55	5	1.110
55	6	1.117
55	7	1.121
55	8	1.133
55	9	1.113
55	10	1.095
55	11	1.118
55	12	1.116
55	13	1.123
55	14	1.112
55	15	1.117
55	16	1.111
55	17	1.123
55	18	1.131
55	19	1.110
55	20	1.121
55	21	1.120
55	22	1.120
56	1	1.092
56	2	1.108
56	3	1.103
56	4	1.110
56	5	1.109
56	6	1.109
56	7	1.123
56	8	1.131
56	9	1.114
56	10	1.099
56	11	1.122
56	12	1.112
56	13	1.121
56	14	1.112
56	15	1.116
56	16	1.110
56	17	1.122
56	18	1.127
56	19	1.107
56	20	1.121
56	21	1.122
56	22	1.121
57	1	1.086
57	2	1.105
57	3	1.103
57	4	1.106
57	5	1.105
57	6	1.106
57	7	1.119
57	8	1.127
57	9	1.114
57	10	1.093
57	11	1.121
57	12	1.118
57	13	1.122
57	14	1.108
57	15	1.113
57	16	1.109
57	17	1.120
57	18	1.126
57	19	1.105
57	20	1.121
57	21	1.117
57	22	1.119
58	1	1.094
58	2	1.113
58	3	1.106
58	4	1.115
58	5	1.117
58	6	1.118
58	7	1.122
58	8	1.132
58	9	1.117
58	10	1.097
58	11	1.123
58	12	1.116
58	13	1.127
58	14	1.116
58	15	1.115
58	16	1.112
58	17	1.124
58	18	1.129
58	19	1.108
58	20	1.125
58	21	1.123
58	22	1.124
59	1	1.091
59	2	1.111
59	3	1.107
59	4	1.116
59	5	1.114
59	6	1.114
59	7	1.126
59	8	1.133
59	9	1.121
59	10	1.099
59	11	1.122
59	12	1.112
59	13	1.125
59	14	1.116
59	15	1.117
59	16	1.111
59	17	1.125
59	18	1.128
59	19	1.107
59	20	1.122
59	21	1.122
